Season,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,ImpProb_H,ImpProb_D,ImpProb_A,HomeResult,AwayResult,Home_GF_avg,Home_GA_avg,Home_WinRate,Away_GF_avg,Away_GA_avg,Away_WinRate,Diff_GF,Diff_GA,Diff_WinRate,P_H,P_D,P_A,Predicted
2021-22,2021-08-13 20:00:00+00:00,Brentford,Arsenal,2,0,H,1.0,0.0,H,M Oliver,8.0,22.0,3.0,4.0,2.0,5.0,12.0,8.0,0.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,,,,2.4,0.8,0.8,,,,0.6092380890434841,0.21543869415353564,0.17532321680298021,A
2021-22,2021-08-14 12:30:00+00:00,Man United,Leeds,5,1,H,1.0,0.0,H,P Tierney,16.0,10.0,8.0,3.0,5.0,4.0,11.0,9.0,1.0,2.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.8,1.8,0.4,2.0,0.8,0.8,-0.1999999999999999,1.0,-0.4,0.457487445321836,0.2543822569240948,0.2881302977540693,A
2021-22,2021-08-14 15:00:00+00:00,Watford,Aston Villa,3,2,H,2.0,0.0,H,M Dean,13.0,11.0,7.0,2.0,2.0,4.0,18.0,13.0,3.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.2,2.0,0.4,1.6,1.6,0.4,-0.4000000000000001,0.3999999999999999,0.0,0.3980553846481969,0.28155918294871185,0.3203854324030912,A
2021-22,2021-08-14 15:00:00+00:00,Leicester,Wolves,1,0,H,1.0,0.0,H,C Pawson,9.0,17.0,5.0,3.0,5.0,4.0,6.0,10.0,1.0,2.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.8,2.2,0.4,0.4,0.8,0.2,1.4,1.4,0.2,0.3082613922283514,0.2665702891644808,0.42516831860716775,H
2021-22,2021-08-14 15:00:00+00:00,Chelsea,Crystal Palace,3,0,H,2.0,0.0,H,J Moss,13.0,4.0,6.0,1.0,5.0,2.0,15.0,11.0,0.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.2,1.4,0.4,1.0,1.6,0.2,0.1999999999999999,-0.2000000000000001,0.2,0.2940060073189025,0.2774521786764244,0.4285418140046731,H
2021-22,2021-08-14 15:00:00+00:00,Burnley,Brighton,1,2,A,1.0,0.0,H,D Coote,14.0,14.0,3.0,8.0,7.0,6.0,10.0,7.0,2.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,0.6,2.4,0.0,0.4,1.4,0.0,0.1999999999999999,1.0,0.0,0.37185006321170716,0.2840860493467991,0.34406388744149363,A
2021-22,2021-08-14 15:00:00+00:00,Everton,Southampton,3,1,H,0.0,1.0,A,A Madley,14.0,6.0,6.0,3.0,6.0,8.0,13.0,15.0,2.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.0,1.2,0.2,0.6,3.0,0.0,0.4,-1.8,0.2,0.18195165916061293,0.24056859490571508,0.577479745933672,H
2021-22,2021-08-14 17:30:00+00:00,Norwich,Liverpool,0,3,A,0.0,1.0,A,A Marriner,14.0,19.0,3.0,8.0,3.0,11.0,4.0,14.0,1.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,0.0,2.2,0.0,2.6,0.8,0.8,-2.6,1.4,-0.8,0.6679985796404654,0.2226103373138546,0.10939108304568003,A
2021-22,2021-08-15 14:00:00+00:00,Newcastle,West Ham,2,4,A,2.0,1.0,H,M Atkinson,17.0,8.0,3.0,9.0,7.0,6.0,4.0,3.0,1.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,1.8,2.0,0.4,2.2,1.6,0.6,-0.4000000000000001,0.3999999999999999,-0.1999999999999999,0.4215052313297735,0.26465267085073835,0.3138420978194881,A
2021-22,2021-08-15 16:30:00+00:00,Tottenham,Man City,1,0,H,0.0,0.0,D,A Taylor,13.0,18.0,3.0,4.0,3.0,11.0,11.0,8.0,2.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,2.0,1.2,0.6,2.4,1.4,0.8,-0.3999999999999999,-0.1999999999999999,-0.2,0.3828940743214393,0.2620192718721341,0.3550866538064267,A
2021-22,2021-08-21 12:30:00+00:00,Liverpool,Burnley,2,0,H,1.0,0.0,H,M Dean,27.0,9.0,9.0,3.0,8.0,4.0,6.0,12.0,0.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.4,0.6,0.6,1.8,1.4,0.4,-0.4000000000000001,-0.7999999999999999,0.1999999999999999,0.3099748260837535,0.2813258171029667,0.40869935681327973,H
2021-22,2021-08-21 15:00:00+00:00,Leeds,Everton,2,2,D,1.0,1.0,D,D England,17.0,17.0,4.0,8.0,8.0,5.0,6.0,13.0,2.0,4.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,1.8,0.8,0.6,0.4,1.0,0.4,1.4,-0.1999999999999999,0.1999999999999999,0.21008797440237484,0.2402673490643038,0.5496446765333213,H
