Season,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,ImpProb_H,ImpProb_D,ImpProb_A,HomeResult,AwayResult,Home_GF_avg,Home_GA_avg,Home_WinRate,Away_GF_avg,Away_GA_avg,Away_WinRate,Diff_GF,Diff_GA,Diff_WinRate
2021-22,2021-08-13 20:00:00+00:00,Brentford,Arsenal,2,0,H,1.0,0.0,H,M Oliver,8.0,22.0,3.0,4.0,2.0,5.0,12.0,8.0,0.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,,,,2.4,0.8,0.8,,,
2021-22,2021-08-14 12:30:00+00:00,Man United,Leeds,5,1,H,1.0,0.0,H,P Tierney,16.0,10.0,8.0,3.0,5.0,4.0,11.0,9.0,1.0,2.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.8,1.8,0.4,2.0,0.8,0.8,-0.1999999999999999,1.0,-0.4
2021-22,2021-08-14 15:00:00+00:00,Watford,Aston Villa,3,2,H,2.0,0.0,H,M Dean,13.0,11.0,7.0,2.0,2.0,4.0,18.0,13.0,3.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.2,2.0,0.4,1.6,1.6,0.4,-0.4000000000000001,0.3999999999999999,0.0
2021-22,2021-08-14 15:00:00+00:00,Leicester,Wolves,1,0,H,1.0,0.0,H,C Pawson,9.0,17.0,5.0,3.0,5.0,4.0,6.0,10.0,1.0,2.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.8,2.2,0.4,0.4,0.8,0.2,1.4,1.4,0.2
2021-22,2021-08-14 15:00:00+00:00,Chelsea,Crystal Palace,3,0,H,2.0,0.0,H,J Moss,13.0,4.0,6.0,1.0,5.0,2.0,15.0,11.0,0.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.2,1.4,0.4,1.0,1.6,0.2,0.1999999999999999,-0.2000000000000001,0.2
2021-22,2021-08-14 15:00:00+00:00,Burnley,Brighton,1,2,A,1.0,0.0,H,D Coote,14.0,14.0,3.0,8.0,7.0,6.0,10.0,7.0,2.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,0.6,2.4,0.0,0.4,1.4,0.0,0.1999999999999999,1.0,0.0
2021-22,2021-08-14 15:00:00+00:00,Everton,Southampton,3,1,H,0.0,1.0,A,A Madley,14.0,6.0,6.0,3.0,6.0,8.0,13.0,15.0,2.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.0,1.2,0.2,0.6,3.0,0.0,0.4,-1.8,0.2
2021-22,2021-08-14 17:30:00+00:00,Norwich,Liverpool,0,3,A,0.0,1.0,A,A Marriner,14.0,19.0,3.0,8.0,3.0,11.0,4.0,14.0,1.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,0.0,2.2,0.0,2.6,0.8,0.8,-2.6,1.4,-0.8
2021-22,2021-08-15 14:00:00+00:00,Newcastle,West Ham,2,4,A,2.0,1.0,H,M Atkinson,17.0,8.0,3.0,9.0,7.0,6.0,4.0,3.0,1.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,1.8,2.0,0.4,2.2,1.6,0.6,-0.4000000000000001,0.3999999999999999,-0.1999999999999999
2021-22,2021-08-15 16:30:00+00:00,Tottenham,Man City,1,0,H,0.0,0.0,D,A Taylor,13.0,18.0,3.0,4.0,3.0,11.0,11.0,8.0,2.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,2.0,1.2,0.6,2.4,1.4,0.8,-0.3999999999999999,-0.1999999999999999,-0.2
2021-22,2021-08-21 12:30:00+00:00,Liverpool,Burnley,2,0,H,1.0,0.0,H,M Dean,27.0,9.0,9.0,3.0,8.0,4.0,6.0,12.0,0.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.4,0.6,0.6,1.8,1.4,0.4,-0.4000000000000001,-0.7999999999999999,0.1999999999999999
2021-22,2021-08-21 15:00:00+00:00,Leeds,Everton,2,2,D,1.0,1.0,D,D England,17.0,17.0,4.0,8.0,8.0,5.0,6.0,13.0,2.0,4.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,1.8,0.8,0.6,0.4,1.0,0.4,1.4,-0.1999999999999999,0.1999999999999999
2021-22,2021-08-21 15:00:00+00:00,Aston Villa,Newcastle,2,0,H,1.0,0.0,H,D Coote,10.0,9.0,2.0,1.0,3.0,4.0,8.0,18.0,3.0,4.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.2,1.6,0.2,1.8,1.4,0.6,-0.6000000000000001,0.2000000000000001,-0.3999999999999999
2021-22,2021-08-21 15:00:00+00:00,Crystal Palace,Brentford,0,0,D,0.0,0.0,D,M Atkinson,7.0,14.0,2.0,3.0,3.0,5.0,12.0,9.0,3.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,1.2,2.2,0.4,,,,,,
2021-22,2021-08-21 15:00:00+00:00,Man City,Norwich,5,0,H,2.0,0.0,H,G Scott,16.0,1.0,4.0,0.0,6.0,1.0,13.0,7.0,1.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,2.4,1.6,0.4,0.2,2.6,0.0,2.2,-1.0,0.4
2021-22,2021-08-21 17:30:00+00:00,Brighton,Watford,2,0,H,2.0,0.0,H,A Taylor,13.0,10.0,3.0,1.0,7.0,2.0,11.0,6.0,4.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.8,0.6,0.6,0.6,2.2,0.0,1.2000000000000002,-1.6,0.6
